iter	Passed	Remaining
0	152	152409
1	154	76883
2	155	51688
3	159	39613
4	160	31938
5	162	26900
6	164	23282
7	165	20543
8	167	18413
9	168	16692
10	172	15481
11	174	14368
12	176	13387
13	178	12539
14	179	11793
15	181	11132
16	183	10601
17	184	10080
18	186	9614
19	188	9221
20	189	8844
21	191	8497
22	195	8322
23	197	8035
24	199	7797
25	203	7615
26	207	7475
27	217	7559
28	219	7365
29	221	7163
30	225	7057
31	231	7009
32	234	6869
33	236	6705
34	237	6551
35	246	6604
36	248	6467
37	249	6327
38	251	6191
39	252	6066
40	258	6048
41	260	5931
42	261	5816
43	262	5712
44	264	5610
45	265	5509
46	269	5460
47	270	5366
48	271	5277
49	273	5195
50	275	5120
51	279	5094
52	281	5027
53	282	4953
54	284	4881
55	285	4813
56	291	4824
57	293	4774
58	296	4723
59	297	4666
60	302	4651
61	304	4609
62	306	4554
63	307	4500
64	309	4452
65	317	4499
66	319	4447
67	320	4388
68	322	4350
69	334	4442
70	335	4395
71	338	4360
72	345	4391
73	347	4351
74	349	4307
75	350	4263
76	352	4223
77	362	4285
78	364	4247
79	365	4204
80	367	4163
81	370	4149
82	371	4109
83	373	4077
84	374	4035
85	376	3999
86	382	4015
87	384	3984
88	386	3953
89	387	3921
90	389	3891
91	397	3927
92	399	3894
93	400	3861
94	403	3847
95	412	3880
96	415	3867
97	417	3843
98	419	3813
99	422	3805
100	424	3776
101	425	3745
102	427	3724
103	432	3724
104	433	3699
105	435	3675
106	437	3653
107	439	3628
108	441	3610
109	443	3588
110	444	3563
111	449	3560
112	450	3540
113	452	3517
114	454	3494
115	455	3472
116	457	3449
117	460	3441
118	466	3450
119	468	3435
120	470	3416
121	472	3398
122	473	3375
123	476	3363
124	477	3342
125	487	3382
126	489	3363
127	490	3341
128	491	3321
129	501	3356
130	503	3338
131	504	3319
132	506	3299
133	515	3332
134	516	3312
135	518	3295
136	520	3277
137	525	3280
138	526	3263
139	528	3244
140	529	3228
141	531	3211
142	539	3234
143	541	3217
144	542	3199
145	544	3183
146	545	3165
147	551	3173
148	552	3157
149	554	3143
150	556	3126
151	563	3145
152	565	3131
153	567	3115
154	568	3101
155	570	3084
156	578	3106
157	580	3092
158	581	3075
159	583	3060
160	589	3073
161	591	3062
162	593	3047
163	595	3033
164	603	3053
165	605	3039
166	606	3026
167	609	3016
168	610	3003
169	612	2991
170	614	2977
171	615	2962
172	620	2966
173	622	2956
174	624	2942
175	626	2931
176	628	2922
177	630	2910
178	632	2899
179	633	2886
180	635	2876
181	637	2866
182	639	2854
183	641	2845
184	645	2842
185	647	2831
186	649	2822
187	688	2972
188	690	2961
189	691	2949
190	693	2938
191	700	2950
192	706	2953
193	707	2940
194	709	2928
195	713	2925
196	715	2915
197	716	2903
198	721	2905
199	723	2893
200	729	2898
201	731	2889
202	745	2926
203	747	2915
204	751	2914
205	754	2908
206	763	2925
207	772	2940
208	774	2929
209	778	2927
210	780	2917
211	782	2907
212	784	2897
213	795	2921
214	809	2954
215	811	2946
216	814	2937
217	816	2928
218	818	2919
219	826	2930
220	839	2960
221	842	2953
222	847	2954
223	857	2972
224	860	2964
225	870	2982
226	872	2972
227	875	2965
228	877	2954
229	883	2957
230	888	2956
231	889	2945
232	897	2952
233	900	2947
234	913	2972
235	928	3005
236	930	2995
237	932	2984
238	942	3002
239	945	2992
240	951	2995
241	953	2987
242	956	2978
243	960	2975
244	962	2966
245	965	2960
246	968	2952
247	972	2947
248	974	2939
249	977	2933
250	986	2943
251	1003	2979
252	1006	2971
253	1009	2964
254	1012	2957
255	1015	2951
256	1018	2944
257	1029	2962
258	1038	2971
259	1041	2963
260	1043	2954
261	1052	2964
262	1054	2956
263	1064	2966
264	1065	2955
265	1068	2947
266	1069	2937
267	1072	2928
268	1075	2921
269	1083	2928
270	1085	2919
271	1087	2911
272	1093	2911
273	1098	2909
274	1104	2911
275	1106	2901
276	1107	2891
277	1110	2883
278	1117	2888
279	1119	2878
280	1122	2872
281	1128	2872
282	1129	2862
283	1132	2854
284	1133	2844
285	1140	2847
286	1142	2838
287	1144	2829
288	1147	2822
289	1149	2813
290	1151	2805
291	1154	2798
292	1156	2790
293	1159	2783
294	1162	2777
295	1171	2785
296	1172	2776
297	1174	2767
298	1176	2758
299	1182	2759
300	1184	2751
301	1186	2742
302	1189	2737
303	1192	2730
304	1194	2721
305	1204	2732
306	1206	2724
307	1209	2716
308	1217	2722
309	1218	2713
310	1220	2704
311	1223	2697
312	1225	2688
313	1227	2681
314	1228	2672
315	1230	2663
316	1232	2655
317	1234	2647
318	1236	2638
319	1238	2631
320	1246	2635
321	1247	2626
322	1248	2617
323	1250	2609
324	1259	2615
325	1261	2607
326	1274	2622
327	1288	2639
328	1291	2633
329	1292	2624
330	1294	2616
331	1298	2613
332	1301	2606
333	1303	2599
334	1308	2598
335	1310	2590
336	1312	2582
337	1319	2584
338	1321	2576
339	1322	2567
340	1327	2565
341	1329	2558
342	1331	2550
343	1332	2541
344	1334	2533
345	1341	2535
346	1343	2528
347	1345	2520
348	1346	2512
349	1348	2505
350	1351	2499
351	1353	2491
352	1356	2486
353	1358	2478
354	1362	2475
355	1364	2467
356	1365	2459
357	1367	2451
358	1369	2445
359	1375	2444
360	1377	2438
361	1379	2431
362	1381	2423
363	1382	2415
364	1384	2408
365	1387	2403
366	1391	2399
367	1392	2391
368	1394	2383
369	1395	2376
370	1398	2370
371	1399	2362
372	1401	2356
373	1403	2348
374	1404	2340
375	1407	2336
376	1409	2328
377	1411	2322
378	1412	2315
379	1414	2307
380	1418	2305
381	1420	2297
382	1421	2290
383	1423	2283
384	1424	2275
385	1425	2268
386	1427	2261
387	1428	2253
388	1430	2246
389	1431	2239
390	1433	2232
391	1434	2224
392	1440	2224
393	1441	2217
394	1443	2210
395	1444	2203
396	1445	2196
397	1447	2188
398	1451	2186
399	1453	2180
400	1455	2174
401	1456	2167
402	1458	2160
403	1459	2153
404	1463	2149
405	1465	2144
406	1467	2138
407	1468	2131
408	1469	2124
409	1471	2117
410	1473	2111
411	1477	2109
412	1479	2102
413	1481	2096
414	1482	2089
415	1483	2083
416	1485	2076
417	1489	2073
418	1491	2067
419	1492	2061
420	1494	2055
421	1495	2048
422	1496	2041
423	1498	2035
424	1502	2032
425	1504	2027
426	1505	2020
427	1508	2015
428	1509	2009
429	1514	2007
430	1516	2002
431	1518	1996
432	1519	1990
433	1521	1983
434	1523	1978
435	1526	1974
436	1529	1970
437	1531	1964
438	1532	1958
439	1533	1952
440	1535	1946
441	1536	1940
442	1539	1936
443	1542	1931
444	1543	1925
445	1545	1919
446	1547	1914
447	1551	1911
448	1554	1907
449	1556	1901
450	1557	1896
451	1559	1890
452	1560	1884
453	1567	1884
454	1568	1878
455	1569	1872
456	1571	1867
457	1573	1861
458	1574	1855
459	1580	1854
460	1581	1848
461	1582	1843
462	1584	1837
463	1585	1831
464	1587	1826
465	1592	1825
466	1594	1819
467	1595	1813
468	1597	1808
469	1598	1802
470	1600	1797
471	1601	1791
472	1604	1787
473	1606	1782
474	1607	1776
475	1608	1770
476	1610	1765
477	1615	1764
478	1617	1759
479	1619	1753
480	1620	1748
481	1622	1743
482	1624	1738
483	1629	1737
484	1631	1732
485	1632	1726
486	1633	1720
487	1637	1718
488	1643	1717
489	1645	1712
490	1646	1707
491	1648	1701
492	1649	1696
493	1651	1691
494	1655	1688
495	1657	1684
496	1658	1678
497	1660	1673
498	1662	1668
499	1666	1666
500	1668	1662
501	1670	1656
502	1671	1651
503	1673	1646
504	1674	1641
505	1679	1639
506	1681	1634
507	1682	1629
508	1684	1624
509	1685	1619
510	1687	1614
511	1690	1611
512	1692	1606
513	1695	1603
514	1697	1598
515	1698	1593
516	1700	1588
517	1704	1586
518	1708	1582
519	1709	1577
520	1710	1572
521	1712	1568
522	1713	1563
523	1718	1561
524	1720	1556
525	1721	1551
526	1723	1547
527	1725	1542
528	1731	1542
529	1734	1537
530	1735	1532
531	1736	1527
532	1738	1522
533	1744	1522
534	1745	1517
535	1747	1512
536	1749	1508
537	1750	1503
538	1754	1500
539	1756	1496
540	1758	1491
541	1766	1492
542	1768	1488
543	1771	1484
544	1773	1480
545	1774	1475
546	1776	1471
547	1779	1467
548	1782	1464
549	1784	1459
550	1785	1455
551	1787	1450
552	1789	1446
553	1793	1443
554	1795	1439
555	1797	1435
556	1798	1430
557	1799	1425
558	1801	1421
559	1804	1418
560	1807	1414
561	1808	1409
562	1809	1404
563	1811	1400
564	1812	1395
565	1816	1392
566	1818	1388
567	1819	1383
568	1820	1379
569	1822	1374
570	1823	1370
571	1825	1365
572	1829	1363
573	1831	1359
574	1833	1354
575	1834	1350
576	1835	1345
577	1837	1341
578	1842	1339
579	1843	1334
580	1845	1330
581	1846	1326
582	1848	1321
583	1853	1320
584	1855	1316
585	1857	1311
586	1859	1307
587	1860	1303
588	1861	1299
589	1867	1298
590	1869	1293
591	1870	1289
592	1872	1284
593	1873	1280
594	1875	1276
595	1880	1274
596	1882	1270
597	1883	1266
598	1884	1261
599	1886	1257
600	1887	1253
601	1889	1248
602	1893	1246
603	1894	1242
604	1896	1238
605	1897	1233
606	1899	1229
607	1900	1225
608	1906	1224
609	1908	1220
610	1910	1216
611	1911	1211
612	1912	1207
613	1916	1205
614	1920	1201
615	1921	1197
616	1922	1193
617	1924	1189
618	1925	1185
619	1930	1182
620	1932	1179
621	1933	1175
622	1935	1170
623	1937	1167
624	1938	1163
625	1943	1161
626	1945	1157
627	1946	1153
628	1948	1149
629	1950	1145
630	1951	1141
631	1955	1138
632	1957	1134
633	1958	1130
634	1960	1126
635	1962	1123
636	1964	1119
637	1967	1116
638	1969	1112
639	1970	1108
640	1971	1104
641	1974	1100
642	1975	1096
643	1978	1093
644	1981	1090
645	1983	1086
646	1984	1082
647	1986	1078
648	1987	1075
649	1989	1071
650	1991	1067
651	1993	1064
652	1995	1060
653	1996	1056
654	1998	1052
655	1999	1048
656	2004	1046
657	2007	1043
658	2008	1039
659	2009	1035
660	2011	1031
661	2013	1027
662	2020	1026
663	2021	1022
664	2023	1019
665	2025	1015
666	2026	1011
667	2027	1007
668	2029	1004
669	2031	1000
670	2033	996
671	2034	993
672	2035	989
673	2040	986
674	2041	983
675	2043	979
676	2045	975
677	2046	972
678	2049	969
679	2051	965
680	2053	961
681	2054	958
682	2056	954
683	2060	951
684	2062	948
685	2063	944
686	2065	940
687	2066	937
688	2067	933
689	2069	929
690	2072	926
691	2075	923
692	2077	920
693	2078	916
694	2080	912
695	2081	909
696	2084	906
697	2086	902
698	2087	899
699	2089	895
700	2091	892
701	2092	888
702	2094	884
703	2097	882
704	2099	878
705	2100	874
706	2101	871
707	2103	867
708	2104	863
709	2109	861
710	2111	858
711	2113	854
712	2114	851
713	2116	847
714	2117	844
715	2121	841
716	2122	837
717	2124	834
718	2125	830
719	2127	827
720	2128	823
721	2132	820
722	2135	818
723	2137	814
724	2139	811
725	2140	807
726	2141	804
727	2148	802
728	2149	799
729	2151	795
730	2152	792
731	2154	788
732	2155	785
733	2162	783
734	2164	780
735	2165	776
736	2166	773
737	2168	769
738	2169	766
739	2172	763
740	2173	759
741	2175	756
742	2176	752
